VO,CHONG,KHAC
9,11,10.1363
9,11,11.7637
9,11,9.9858
9,11,9.6202
9,11,9.0811
9,11,11.9267
10,12.5,11.8598
10,12.5,9.1351
10,12.5,11.9909
10,12.5,11.8103
10,12.5,10.8715
10,12.5,10.2946
11,14,11.0754
11,14,11.4493
11,14,9.8155
11,14,9.3527
11,14,10.4855
11,14,10.0819
12,15.5,10.5377
12,15.5,9.8788
12,15.5,9.2044
12,15.5,10.8543
12,15.5,9.5166
12,15.5,10.2403
13,17,11.1995
13,17,9.9808
13,17,9.9514
13,17,9.2232
13,17,11.2213
13,17,11.1043
14,18.5,10.2745
14,18.5,11.8312
14,18.5,9.5082
14,18.5,10.1343
14,18.5,11.6766
14,18.5,10.9415
